customer_id,salary_deviation,savings_change_pct,lending_app_count,bill_delay,disc_ratio_change,atm_freq_change,is_delinquent
0,7,1.0907912987525619,3,15,-0.3875336631743814,4.333333333333334,1
1,5,-0.016503933731434006,2,15,-0.1264364180441248,4.666666666666667,1
2,6,0.10464586111137986,4,15,-0.2709989027487299,0.6666666666666667,1
3,7,0.02353655026867794,1,15,-0.41992661922294233,1.6666666666666665,1
4,9,3.1731295305866594,4,15,-0.22878143602727002,2.6666666666666665,1
5,5,1.0717851637218898,4,15,-0.1832162774513723,5.333333333333334,1
6,6,0.07238654353351698,3,15,-0.2889259566138873,1.3333333333333333,1
7,9,1.0876546204330872,2,15,-0.34357768933427835,1.0,1
8,0,-1.0149838828574413,1,15,-0.20897472990907,3.3333333333333335,1
9,0,-0.9146175122958712,4,15,-0.384480958139114,1.3333333333333333,1
10,6,0.04405236613080536,3,15,-0.22541454757939344,1.0,1
11,7,0.007335030754918393,2,15,-0.22981334506843687,2.0,1
12,7,0.21991619305282606,6,15,-0.18393653902579016,-0.6666666666666665,1
13,0,-0.9157878518963869,5,15,-0.21133900174659653,1.0,1
14,8,0.011340359953037532,1,15,-0.20918512073978776,3.0,1
15,0,-0.9449232625473295,5,15,-0.34725811146900165,4.0,1
16,9,0.10121816291984262,4,15,-0.36654031050534924,3.6666666666666665,1
17,0,-0.9201838598824271,6,15,-0.28529303942572853,4.0,1
18,0,-0.9363453480282411,6,15,-0.36003508251807953,2.6666666666666665,1
19,7,1.0809446894673906,2,15,-0.19856331058778434,2.666666666666667,1
20,9,0.08025711444590035,4,15,-0.0895618917627749,0.6666666666666665,1
21,0,-1.0323782808893336,0,0,-0.34856545132437156,2.0,1
22,4,0.01355449803518341,0,0,-0.20950676054995493,-0.6666666666666667,1
23,9,-0.0140675059357802,0,15,-0.21253267237046256,2.0,1
24,6,0.01011344612647535,1,15,-0.3982183072158917,2.0,1
25,5,1.0850506936939308,4,15,-0.2565708779490029,1.6666666666666665,1
26,9,0.053308002798901355,2,15,-0.22323250280054951,0.6666666666666665,1
27,0,-0.9807733713425121,4,15,-0.2737511851764857,5.333333333333333,1
28,7,1.0596534176378503,2,0,-0.20028729154651853,2.0,1
29,0,-0.9867945973194548,2,15,-0.3826750262213957,1.6666666666666667,1
30,7,0.05082094604385577,3,15,-0.1104752699184342,0.0,1
31,8,3.152952233384402,6,15,-0.27521902594047304,5.0,1
32,4,0.11705046126504418,4,15,-0.3319996901759732,0.3333333333333335,1
33,8,0.18557519830874966,7,15,-0.313573066734632,4.333333333333334,1
34,6,0.003569739186383895,0,15,-0.1754325650930011,1.3333333333333335,1
35,9,0.033535177465644064,2,15,-0.0070207718178267875,0.6666666666666667,1
36,0,-0.9883384221230936,3,15,-0.3286542474910823,1.0,1
37,4,0.023621035548068672,1,15,-0.3656988177450898,3.6666666666666665,1
38,0,-1.050619838597187,1,15,-0.3349966140495114,2.333333333333333,1
39,0,-0.9491456305092848,4,15,-0.21363073021158996,0.0,1
40,0,-0.914857424019412,5,15,-0.1593727204704364,1.0,1
